OBJECTID,Local Government Areas 2021 code,Local Government Areas 2021 name,Area in square kilometres,Uniform Resource Identifier,Persons who reported having private health insurance (no.) (Data year: 2022),Persons with disability (no.) (Data year: 2018),Persons with disability (%) (Data year: 2018),Persons with profound/severe core activity limitation (no.) (Data year: 2018),Persons with profound/severe core activity limitation (%) (Data year: 2018),Persons with moderate/mild core activity limitation (no.) (Data year: 2018),Persons with moderate/mild core activity limitation (%) (Data year: 2018),Persons who are carers (no.) (Data year: 2018),Persons who are carers (%) (Data year: 2018),Persons aged 15 years and over who are primary carers (no.) (Data year: 2018),Persons aged 15 years and over who are primary carers (%) (Data year: 2018),Persons who are non-primary carers (no.) (Data year: 2018),Persons who are non-primary carers (%) (Data year: 2018),"Persons with disability aged 15 years and over who need assistance or have difficulty with household chores, meal preparation or property maintenance (accommodation support) (no.) (Data year: 2018)","Persons with disability aged 15 years and over who need assistance or have difficulty with household chores, meal preparation or property maintenance (accommodation support) (%) (Data year: 2018)",Persons with disability who need assistance or have difficulty with personal/health care (no.) (Data year: 2018),Persons with disability who need assistance or have difficulty with personal/health care (%) (Data year: 2018),Persons with disability aged 16 years and over who need assistance or have difficulty with private transport (no.) (Data year: 2018),Persons with disability aged 16 years and over who need assistance or have difficulty with private transport (%) (Data year: 2018),Persons with disability aged 0-64 years whose need for assistance with core activities is fully met (no.) (Data year: 2018),Persons with disability aged 0-64 years whose need for assistance with core activities is fully met (%) (Data year: 2018),Persons with disability aged 0-64 years whose need for assistance with core activities is partly met or not met at all (no.) (Data year: 2018),Persons with disability aged 0-64 years whose need for assistance with core activities is partly met or not met at all (%) (Data year: 2018),Persons who have need for assistance with core activities (no.) (Data year: 2021),Persons who have need for assistance with core activities (%) (Data year: 2021),Persons with long-term health condition(s): Arthritis (%) (Data year: 2021),Persons with long-term health condition(s): Asthma (%) (Data year: 2021),Persons with long-term health condition(s): Cancer (including remission) (%) (Data year: 2021),Persons with long-term health condition(s): Dementia (including Alzheimer's) (%) (Data year: 2021),Persons with long-term health condition(s): Diabetes (excluding gestational diabetes) (%) (Data year: 2021),Persons with long-term health condition(s): Heart disease (including heart attack or angina) (%) (Data year: 2021),Persons with long-term health condition(s): Kidney disease (%) (Data year: 2021),Persons with long-term health condition(s): Lung condition (including COPD or emphysema) (%) (Data year: 2021),Persons with long-term health condition(s): Mental health condition (including depression or anxiety) (%) (Data year: 2021),Persons with long-term health condition(s): Stroke (%) (Data year: 2021),Persons with other long-term health condition(s) (%) (Data year: 2021),Persons with no long-term health condition(s) (%) (Data year: 2021),globalid,Shape__Area,Shape__Length
353,47910,Tumby Bay,2669.0794,https://linked.data.gov.au/dataset/asgsed3/LGA2021/47910,986,587,21.7,173,6.4,399,14.8,390,14.4,122,5.4,296,10.9,270,12.1,300,11.1,186,8.4,59,3,15,0.8,197,7,11.2,8.9,4.1,1.2,7.2,5.9,1.1,2.6,9,1,6.8,54.8,470dc9ca-7d46-4e02-9467-746fbb6c3544,0.261004375371613,2.87925041915182
354,47980,Unley,14.2703,https://linked.data.gov.au/dataset/asgsed3/LGA2021/47980,19801,5158,13.5,1497,3.9,3275,8.6,3891,10.2,1223,3.8,3317,8.7,2407,7.5,2588,6.8,1361,4.3,491,1.6,224,0.7,2404,6.2,8.4,7.4,3.5,1.5,4,4.3,0.7,1.4,9.2,1,8.8,62.1,5ea94e36-e819-4812-ade5-8b3da1186b22,0.00140834086505492,0.170839249961129
355,48050,Victor Harbor,384.6255,https://linked.data.gov.au/dataset/asgsed3/LGA2021/48050,4699,4632,30.7,1247,8.3,2630,17.4,1661,11,882,6.8,921,6.1,2456,18.8,2568,17,1221,9.5,336,3.6,73,0.8,1582,9.8,17.4,9.6,5.9,1.6,7.6,8.6,1.2,3.4,11.7,1.8,11.2,46.1,157a4e5a-1fd0-4e7d-b684-bfb64d3fcaeb,0.0382147612722292,1.02421019245227
356,48130,Wakefield,3468.4879,https://linked.data.gov.au/dataset/asgsed3/LGA2021/48130,2079,1393,20.5,377,5.5,792,11.6,592,8.7,298,5.4,454,6.7,649,11.8,651,9.6,329,6.1,159,2.9,75,1.4,585,8.6,13.1,11.3,3.1,1.3,7,5.8,0.9,3,11.9,1.4,9.1,52.3,1329ee89-1a2c-4fb3-9008-b1b3375ca280,0.338439006888166,2.94946643601665
357,48260,Walkerville,3.53,https://linked.data.gov.au/dataset/asgsed3/LGA2021/48260,4264,1300,16.7,352,4.5,704,9.1,681,8.8,270,4.1,475,6.1,532,8.1,613,7.9,303,4.7,110,1.8,38,0.6,444,5.5,8.8,6.3,3.5,1.4,4.4,4.9,0.7,1.6,6.9,1.2,8.5,62.8,0e19a401-ed09-4022-99c9-40e59b51c920,0.000348087931342889,0.117538111878015
358,48340,Wattle Range,3926.2101,https://linked.data.gov.au/dataset/asgsed3/LGA2021/48340,3446,2633,22.1,704,5.9,1621,13.6,1546,13,573,5.9,1238,10.4,1197,12.3,1528,12.8,500,5.2,297,3.2,111,1.2,854,7.2,12.6,9.9,3.5,1,6.7,5.4,1,2.8,10.2,1.1,7.5,53.4,2f3da5c8-ed8f-4358-941f-37ff9282fa55,0.399904612060254,3.52979915204598
359,48410,West Torrens,37.0886,https://linked.data.gov.au/dataset/asgsed3/LGA2021/48410,25067,9521,16.1,2968,5,5390,9.1,4370,7.4,2044,4.1,3295,5.6,3856,7.7,4295,7.3,2717,5.4,905,1.8,416,0.8,4084,6.6,8.4,7.4,2.8,1.3,4.8,4.3,0.9,1.5,8.8,0.9,8.2,63,bb0fc373-1489-4cef-925a-82070cf72f51,0.00365959992222997,0.283226885081059
360,48540,Whyalla,1071.3397,https://linked.data.gov.au/dataset/asgsed3/LGA2021/48540,5427,4856,22.4,1471,6.8,2871,13.2,3075,14.2,971,5.6,2069,9.5,2271,13,2427,11.2,1025,6,640,3.6,199,1.1,1651,7.8,12.2,11.3,3.3,1.1,8.2,5.1,1.3,3.2,10.7,1.2,9,51.9,e0bc4adc-bab9-4b36-85bb-ecc3a585c09f,0.10341282384843,2.44165340057644
361,48640,Wudinna,5075.2783,https://linked.data.gov.au/dataset/asgsed3/LGA2021/48640,413,,,,,,,,,,,,,,,,,,,,,,,48,4.2,6.9,7.2,2.7,0.3,4.7,4.3,0.4,1.1,5.7,0.6,5,60.1,90ff571f-b075-4cb3-9970-b7b7dcc0ef15,0.489843108787682,3.71914483267702
362,48750,Yankalilla,751.2577,https://linked.data.gov.au/dataset/asgsed3/LGA2021/48750,1858,1521,27.8,370,6.8,808,14.8,606,11.1,300,6.4,399,7.3,726,15.5,851,15.6,324,7,134,3.5,29,0.8,393,6.7,16.2,8.5,5.2,1.1,6.8,6.6,1,3.3,11,1.2,10.2,50.6,fc3b180c-58fb-452f-b7a5-527eb35365a2,0.0746472332511985,1.63342270381888
363,48830,Yorke Peninsula,5899.6397,https://linked.data.gov.au/dataset/asgsed3/LGA2021/48830,3834,2698,24.2,794,7.1,1861,16.7,1513,13.6,623,6.5,966,8.7,1308,13.7,1439,12.9,713,7.5,279,3.7,71,0.9,898,7.7,17.1,9.8,4.8,1,8.9,7.5,1.3,3.6,9.2,1.8,8.6,47.7,083bc0be-e450-4d97-902d-2e6f88146879,0.580349857794317,5.72073840546027
364,49399,Unincorporated SA,619426.0858,https://linked.data.gov.au/dataset/asgsed3/LGA2021/49399,542,,,,,,,,,,,,,,,,,,,,,,,96,3.2,7.5,6.7,2.2,0.1,5.5,4,0.9,2.3,5.8,0.8,4.9,57.2,86e4a448-31c3-4b2a-9974-cf082a14960d,57.7158405370681,57.0358568327766
365,49499,No usual address (SA),,https://linked.data.gov.au/dataset/asgsed3/LGA2021/49499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b6bfeee-bd48-407f-a248-66c7f508256c,,
366,49799,Migratory - Offshore - Shipping (SA),,https://linked.data.gov.au/dataset/asgsed3/LGA2021/49799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6246f361-771d-44e2-95ca-23ab2ab9e43b,,
367,50080,Albany,4308.458,https://linked.data.gov.au/dataset/asgsed3/LGA2021/50080,13288,6744,18.3,1813,4.9,4403,11.9,3829,10.4,1230,4.1,3069,8.3,2895,9.7,3675,10,1226,4.2,820,2.8,166,0.6,2462,6.4,11.1,8.8,3.7,1.1,5.4,4.8,0.8,2.2,10.6,1.2,8.5,54,7e3d63b6-62d5-4d33-a074-28ee5a5f038b,0.424098710399448,7.55705166199458
368,50210,Armadale,559.5258,https://linked.data.gov.au/dataset/asgsed3/LGA2021/50210,36083,13812,15.9,3403,3.9,6993,8,7571,8.7,2328,3.5,5540,6.4,4905,7.3,6963,8,2716,4.1,1774,2.3,536,0.7,4373,4.6,7.1,7.9,2.2,0.4,4.9,3.2,0.8,1.7,9,0.7,7.6,62.5,bc949cc3-3b93-495b-8267-6d56c5542094,0.0534948483718836,1.40374894639138
369,50250,Ashburton,100817.3112,https://linked.data.gov.au/dataset/asgsed3/LGA2021/50250,2616,,,,,,,,,,,,,,,,,,,,,,,89,1.2,2.8,5.7,1.3,0.2,2.8,1.5,0.2,0.6,4.4,0.2,3.5,62.2,1756c6d7-10e5-4286-994d-f4d2c16f38d1,8.84791127236417,26.0859952129352
370,50280,Augusta Margaret River,2122.375,https://linked.data.gov.au/dataset/asgsed3/LGA2021/50280,7054,2241,14.4,520,3.3,1386,8.9,1845,11.8,460,3.8,1555,10,886,7.3,1061,6.8,429,3.6,300,2.3,88,0.7,579,3.4,7.3,6.2,2.9,0.6,2.2,3.3,0.6,1.2,7.2,0.7,6.2,63,2e137f4d-b079-40af-af12-43eac0964afd,0.207185745315883,3.10436021549364
371,50350,Bassendean,10.3449,https://linked.data.gov.au/dataset/asgsed3/LGA2021/50350,7136,3346,21.5,721,4.6,1626,10.4,1490,9.6,498,3.9,899,5.8,985,7.7,1246,8,609,4.8,294,2.2,95,0.7,954,6,8.4,8.5,3.1,0.8,4.7,4.2,1,2.2,10.7,1,8.8,57.1,ffdb4c42-aa10-4de0-be70-14b974802272,0.00098624198426478,0.145784478453975
372,50420,Bayswater,34.6169,https://linked.data.gov.au/dataset/asgsed3/LGA2021/50420,31605,11285,16.8,2615,3.9,5880,8.7,6857,10.2,1893,3.4,5104,7.6,3954,7,4685,7,2280,4.1,1032,1.8,316,0.6,3663,5.3,7.4,7.4,2.7,0.9,4.7,3.7,0.8,1.6,9,0.9,8.1,61.8,ea4873b6-c8ed-4383-82c1-2edfb39ec395,0.00330029908445795,0.347092810174916
373,50490,Belmont,39.8246,https://linked.data.gov.au/dataset/asgsed3/LGA2021/50490,17230,5802,14.1,1445,3.5,3512,8.6,2855,7,1058,3.1,2266,5.5,2484,7.3,2414,5.9,1559,4.6,584,1.6,206,0.6,2042,4.8,6.9,6.8,2.4,0.7,4.8,3.4,0.7,1.6,7.9,1,7.1,62.8,60b4eece-9d94-43ca-a901-6acf5d6c6e3d,0.00379900556322355,0.303009523189557
374,50560,Beverley,2370.5195,https://linked.data.gov.au/dataset/asgsed3/LGA2021/50560,670,396,22.8,93,5.3,281,16.1,262,15.1,74,5,185,10.6,174,11.8,216,12.4,61,4.2,41,3.3,10,0.8,115,6.8,14.3,10,4.1,0.8,7.9,6,1.4,3,9.3,1.2,8.1,46.2,9a228946-4e62-4d9e-bef4-8e0a4e123641,0.226661171715932,3.01552427158655
375,50630,Boddington,1904.4791,https://linked.data.gov.au/dataset/asgsed3/LGA2021/50630,766,358,19.6,73,4,212,11.6,189,10.4,59,4.1,116,6.4,116,8.1,156,8.5,65,4.6,48,3.1,12,0.8,60,3.5,9.3,9,2.5,,3.8,3.1,0.6,1.8,8.9,0.9,5.8,57,a82cdee3-d875-47cd-b0f4-26ef8a084336,0.183379061608093,2.17926638439122
376,50770,Boyup Brook,2826.4585,https://linked.data.gov.au/dataset/asgsed3/LGA2021/50770,771,249,14.4,74,4.3,198,11.5,162,9.4,58,4.3,115,6.7,101,7.4,151,8.7,52,3.9,41,3.1,7,0.5,86,4.7,11.4,6,4,0.4,4.8,4.4,0.9,2,8.8,0.5,6.7,54.8,f28b37b1-9c88-4713-bf22-a270019bb769,0.275475490203235,3.33530822607571
377,50840,Bridgetown-Greenbushes,1337.361,https://linked.data.gov.au/dataset/asgsed3/LGA2021/50840,1898,851,18.1,226,4.8,583,12.4,474,10.1,174,4.5,356,7.6,337,8.7,460,9.8,178,4.7,99,2.8,19,0.5,318,6.1,12.3,7.6,4.4,0.6,4.7,4.8,0.5,2.4,10,1.3,8.5,53.6,3367ef7b-03df-44f3-90ed-60d3c35b31f5,0.13051117560758,2.20913178654551
378,50910,Brookton,1601.1532,https://linked.data.gov.au/dataset/asgsed3/LGA2021/50910,374,183,19.8,47,5.1,106,11.4,129,13.9,33,4.5,90,9.7,59,8.1,96,10.4,29,4,20,2.8,7,1,91,9.8,16,9.3,5.1,3.9,6.2,5.9,1.9,1.8,11,1.4,6.2,46.8,9f366749-a027-4926-abbf-9e0ce07a2a2f,0.153406956735807,2.65870579925483
379,50980,Broome,54401.8236,https://linked.data.gov.au/dataset/asgsed3/LGA2021/50980,4692,1799,12.7,441,3.1,994,7,1189,8.4,360,3.3,564,4,267,2.5,813,5.7,468,4.4,345,2.6,96,0.7,440,2.6,3.6,4.9,1.6,0.3,3.1,2.1,0.8,1.1,5,0.4,4.5,63.6,0f6082d6-e3a6-4df6-9f38-4b6d43150433,4.65526610529412,20.9996789503693
380,51080,Broomehill-Tambellup,2609.6612,https://linked.data.gov.au/dataset/asgsed3/LGA2021/51080,416,184,16.3,64,5.7,120,10.7,145,12.9,38,4.5,107,9.5,76,9.1,116,10.3,35,4.2,30,3.2,8,0.8,51,4.9,10.1,8,2.9,0.3,5.3,2.7,0.8,1.8,9.2,0.4,6.2,56.1,512e8f02-bd1e-48dc-bb36-e4fbcf66c49b,0.254668519746247,2.86043891070885
381,51120,Bruce Rock,2724.6944,https://linked.data.gov.au/dataset/asgsed3/LGA2021/51120,390,178,19.2,57,6.1,118,12.7,126,13.6,30,4.1,109,11.7,69,9.4,128,13.8,41,5.7,29,4,6,0.8,52,5.3,10.9,9.8,3.3,0.3,5.9,4.4,,3.1,7.5,0.3,8.2,44.8,223017f7-c440-41ba-952d-44a83f30bf7d,0.259907356704616,2.75227473068617
382,51190,Bunbury,65.4163,https://linked.data.gov.au/dataset/asgsed3/LGA2021/51190,12240,5742,18.4,1575,5,3604,11.5,3277,10.5,1077,4.2,2480,7.9,2648,10.4,2971,9.5,1436,5.7,695,2.7,172,0.7,2220,6.7,11.2,8.6,3.4,1.2,5.8,4.5,1,2.2,11.3,1.2,8.4,53.2,c5cf579e-afb6-45fc-9227-da69183d6539,0.00633658937886139,0.49888996331893
383,51260,Busselton,1454.0509,https://linked.data.gov.au/dataset/asgsed3/LGA2021/51260,17772,8189,21.2,1904,4.9,4405,11.4,5123,13.3,1377,4.5,3568,9.2,3153,10.2,4678,12.1,1593,5.3,828,2.7,157,0.5,2072,5.1,10.3,7.7,3.6,0.9,4.1,4.2,0.8,1.9,8.9,1,7.4,58.1,8a6ddcb8-66e9-4cbb-a9f1-938da12362a3,0.141433520436067,2.48794645256903
384,51310,Cambridge,21.9555,https://linked.data.gov.au/dataset/asgsed3/LGA2021/51310,17327,3709,13.3,977,3.5,1830,6.5,3040,10.9,597,2.7,2459,8.8,1348,6.1,1727,6.2,696,3.2,408,1.7,133,0.6,1187,4.1,6.5,6.6,3.3,1.2,2.3,3.6,0.6,1.2,6.6,0.7,7.3,66.9,cda2038a-044f-4b66-9bc8-6356d7094aa2,0.00209393968566474,0.292830218084379
385,51330,Canning,64.8791,https://linked.data.gov.au/dataset/asgsed3/LGA2021/51330,41785,11830,12.8,3283,3.6,6721,7.3,8300,9,2459,3.3,5746,6.2,4976,6.6,5671,6.1,2582,3.5,1426,1.8,444,0.6,3841,4,6.1,5.5,2.4,0.6,4.7,3.1,0.7,1.2,6.2,0.7,6.8,68.1,3594f0de-ea5f-48b1-a491-7261d5a59596,0.00619432269218123,0.492120141958377
386,51400,Capel,557.8983,https://linked.data.gov.au/dataset/asgsed3/LGA2021/51400,8095,2973,16.7,631,3.5,1653,9.3,2415,13.5,508,3.7,1946,10.9,978,7.2,1223,6.9,504,3.8,397,2.5,111,0.7,715,3.9,8.6,8.6,2.7,0.4,4.5,3.2,0.7,1.6,8.9,0.6,7.5,60.4,fa9f13b9-2314-44ff-9a76-91a92836f2b2,0.0541513941832363,1.19758892473625
387,51470,Carnamah,2870.9316,https://linked.data.gov.au/dataset/asgsed3/LGA2021/51470,243,92,17.3,39,7.3,62,11.6,72,13.5,19,4.3,43,8.1,30,6.8,63,11.8,26,6.1,14,3.2,4,0.9,25,4.5,10,5.3,3.6,,5.6,5.3,0.9,3.6,9.8,0.5,4.9,49.6,bd0f494a-bb12-4972-94a1-df2ad683238e,0.267821467826025,3.53833807658707
388,51540,Carnarvon,46574.705,https://linked.data.gov.au/dataset/asgsed3/LGA2021/51540,1374,,,,,,,,,,,,,,,,,,,,,,,210,4,6.3,5.7,2.1,0.4,5.3,3.9,1.2,1.9,4.6,0.7,5.5,54.7,684fc234-7ae9-4c04-9da6-1cfb98d3f9dc,4.14415880482784,15.0338138865912
389,51610,Chapman Valley,3981.3333,https://linked.data.gov.au/dataset/asgsed3/LGA2021/51610,706,192,13.6,70,5,134,9.5,145,10.3,45,4.2,113,8,67,6.2,87,6.2,42,4,31,2.6,10,0.9,48,3.1,7.9,6.1,2.3,0.3,4.4,2.8,0.9,1.2,6.1,0.5,7,55.6,4d325e6b-d074-41b3-8514-aaf37ded652a,0.366327729032264,3.95016383118916
390,51680,Chittering,1219.9032,https://linked.data.gov.au/dataset/asgsed3/LGA2021/51680,2861,1107,19.5,238,4.2,621,10.9,523,9.2,179,3.9,336,5.9,430,9.3,619,10.9,182,4,129,2.7,34,0.7,275,4.6,8.6,7.4,3.5,0.5,4.7,3.6,1,2,7.9,1,7.7,58.8,347216e1-1a09-4f96-bceb-59bd01e61eb8,0.11565813156335,1.95067778846437
391,51710,Christmas Island,136.1356,https://linked.data.gov.au/dataset/asgsed3/LGA2021/51710,380,,,,,,,,,,,,,,,,,,,,,,,25,1.5,2.4,5.1,1.2,,3.5,1.3,0.2,0.7,1.9,,3.6,55.6,50876076-e2b1-4fb9-8d2a-dfb8a260043a,0.0112426246076893,0.68903850802362
392,51750,Claremont,4.9554,https://linked.data.gov.au/dataset/asgsed3/LGA2021/51750,6364,1497,14.7,361,3.5,825,8.1,889,8.7,238,2.8,630,6.2,630,7.4,699,6.8,338,4,132,1.7,33,0.4,547,4.8,8,6.5,3.9,1.2,2.7,4.5,0.6,1.6,7,0.9,6.7,62.9,e2794524-9b05-4f81-869c-fdad3a0e21ce,0.000472854825147806,0.11816072326884
393,51820,Cockburn,167.9415,https://linked.data.gov.au/dataset/asgsed3/LGA2021/51820,56502,16989,15.3,4359,3.9,8496,7.6,9728,8.7,2990,3.4,7402,6.7,6709,7.6,8721,7.8,3275,3.7,2165,2.2,607,0.6,5278,4.5,6.9,7.3,2.4,0.6,4.1,3.1,0.7,1.3,8.4,0.7,7.5,63.8,04456612-e765-4a44-8dc6-2dc1cf2dfef3,0.0160474292893014,0.950975634270969
394,51860,Cocos Islands,13.7258,https://linked.data.gov.au/dataset/asgsed3/LGA2021/51860,43,,,,,,,,,,,,,,,,,,,,,,,31,5.2,2.5,3.3,0.8,,2.2,0.5,,,0.5,,3.5,62.2,b907d579-9c61-4e34-ab16-5175893fa7e8,0.0011399120793385,1.16343099303921
395,51890,Collie,1709.815,https://linked.data.gov.au/dataset/asgsed3/LGA2021/51890,2961,1851,21.4,424,4.9,1081,12.5,1031,11.9,321,4.6,790,9.1,880,12.7,707,8.2,467,6.8,223,3.1,59,0.8,583,6.6,12.3,9.1,3.6,0.8,6.6,4.5,0.9,2.9,10.4,1.3,7.9,51.7,46728cb9-6efa-4479-adce-599da5f076f7,0.165494680700476,2.6415688248086
396,51960,Coolgardie,30297.6977,https://linked.data.gov.au/dataset/asgsed3/LGA2021/51960,980,,,,,,,,,,,,,,,,,,,,,,,122,3.5,6.7,7.3,1.9,0.1,5.5,2.9,0.8,2.6,7.5,0.5,5.1,49.8,5eac936e-1d4c-487d-8bca-d28529cfa59c,2.86696541527749,7.90884637184372
397,52030,Coorow,4189.8721,https://linked.data.gov.au/dataset/asgsed3/LGA2021/52030,418,213,21.1,70,6.9,169,16.7,153,15.2,41,4.8,88,8.7,67,7.9,126,12.5,51,6,26,3.5,7,0.9,52,4.9,11.7,7.8,4.3,0.3,7.4,6.8,1.6,2.5,5.5,1,6.4,50.5,d9313488-69b7-4e41-9850-7a5ad813728d,0.391819005596517,4.2250054168963
398,52100,Corrigin,2681.271,https://linked.data.gov.au/dataset/asgsed3/LGA2021/52100,549,209,18.3,56,4.9,127,11.1,138,12.1,36,4,91,8,66,7.3,114,10,49,5.4,24,2.7,8,0.9,44,4.4,15.8,10.5,4.8,0.9,6.9,5,1.8,2.9,7.7,1.1,7.1,50.6,8a758d66-900c-4bad-8968-68fa06fd71b0,0.256884291970891,2.74680371187205
399,52170,Cottesloe ,3.8564,https://linked.data.gov.au/dataset/asgsed3/LGA2021/52170,5076,854,10.6,238,2.9,480,5.9,596,7.4,161,2.4,415,5.1,357,5.4,389,4.8,200,3.1,102,1.5,29,0.4,198,2.5,6.9,5.8,3.6,0.6,1.9,3.8,0.5,1,5.7,0.6,5.8,66.6,ff19cb2e-69bc-4482-9c4d-d8d959655afe,0.00036799969166168,0.099863897348103
400,52240,Cranbrook,3276.0464,https://linked.data.gov.au/dataset/asgsed3/LGA2021/52240,383,184,17.2,51,4.8,131,12.3,132,12.4,38,4.5,104,9.7,67,7.9,104,9.7,32,3.8,25,3,7,0.8,63,5.7,9.7,8.8,2.8,,5,5.2,,1.7,8,1.1,8,54.4,75d13f40-e94a-44c8-af5e-3a84692b6c7d,0.320862781390815,4.03938976340466
401,52310,Cuballing,1195.3369,https://linked.data.gov.au/dataset/asgsed3/LGA2021/52310,319,167,19.4,40,4.7,113,13.2,209,24.3,32,4.6,171,19.9,54,7.7,84,9.8,30,4.3,19,2.9,6,0.9,55,6.1,13.2,6.7,3.6,0.3,7,4.9,1.3,2.5,8.7,0.8,7.6,53.4,5d5fad84-645a-419b-9e26-b916c9bd5394,0.114994269448971,1.79173022535838
402,52380,Cue,13582.1956,https://linked.data.gov.au/dataset/asgsed3/LGA2021/52380,29,,,,,,,,,,,,,,,,,,,,,,,12,5.6,10.3,2.3,4.2,,6.1,4.7,,1.4,8.5,,4.7,49.3,5d41a030-6b4f-4d3a-a815-dfb3c29fa612,1.23837616040601,6.86646295558457
403,52450,Cunderdin,1862.4457,https://linked.data.gov.au/dataset/asgsed3/LGA2021/52450,488,233,16.3,66,4.6,144,10,166,11.6,48,4.1,123,8.6,87,7.5,149,10.4,39,3.4,33,2.7,9,0.7,45,3.5,7.4,9.8,2.7,,4.4,3.4,1.1,1.8,5.8,0.3,5.9,59.8,62d235ce-c73f-460a-87d9-ff0a4fc2d587,0.176994158036678,2.29971128009788
404,52520,Dalwallinu,7224.3566,https://linked.data.gov.au/dataset/asgsed3/LGA2021/52520,669,210,14.8,58,4.1,126,8.9,205,14.4,38,3.4,181,12.7,70,6.2,118,8.3,54,4.9,28,2.3,9,0.7,47,3.4,5.1,7.2,2.4,,4.5,2.3,1.2,1,5.9,0.7,5.4,55.8,8a9486e1-14fc-4bfe-954c-eaa3041c9db7,0.676286786503852,5.13960762697074
405,52590,Dandaragan,6711.5721,https://linked.data.gov.au/dataset/asgsed3/LGA2021/52590,1652,645,19.8,148,4.5,433,13.3,283,8.7,110,4,214,6.6,218,7.9,306,9.4,108,3.9,60,2.5,11,0.5,135,4,11.4,6.5,4.3,0.3,4.9,4.8,0.8,2.4,7.8,1.1,5.9,55.2,25c757dd-88ae-4aee-93ce-4e7294d02714,0.630895132720525,4.18819107112584
406,52660,Dardanup,525.8017,https://linked.data.gov.au/dataset/asgsed3/LGA2021/52660,6282,1966,13.9,515,3.6,1223,8.7,1230,8.7,395,3.6,998,7.1,778,7.1,816,5.8,531,4.9,261,2.2,82,0.7,770,5.2,10.3,8.7,3.1,0.7,5,3.6,0.9,1.9,9.7,0.9,7.6,56.8,4ccc327a-844f-4480-bfd6-09cd70e9554d,0.0509684072364962,1.69896913758991
407,52730,Denmark,1859.8487,https://linked.data.gov.au/dataset/asgsed3/LGA2021/52730,2215,1551,25.2,309,5,987,16,846,13.7,244,4.8,620,10.1,546,10.8,564,9.2,224,4.5,130,2.8,28,0.6,299,4.7,11.9,7.6,4,0.6,4.4,4,0.6,2.2,9,0.8,7.9,54.2,39ebe1ad-b8b4-4b21-81cd-a46e16cdee43,0.183404546769452,2.94684822694623
408,52800,Derby-West Kimberley,119730.9696,https://linked.data.gov.au/dataset/asgsed3/LGA2021/52800,788,,,,,,,,,,,,,,,,,,,,,,,247,3.5,3.1,3.7,1.1,0.5,5.6,2.5,1.2,0.7,3,0.5,4.1,60.2,c0e3d964-4884-40fa-bcda-df8875375fc2,10.2040170061364,48.0754118407232
409,52870,Donnybrook-Balingup,1559.856,https://linked.data.gov.au/dataset/asgsed3/LGA2021/52870,2600,1174,19.5,273,4.5,740,12.3,859,14.2,218,4.4,607,10.1,397,8.1,559,9.3,256,5.3,109,2.3,31,0.7,331,5.4,11.6,7.2,3.6,0.8,4.9,4.7,0.7,2,9.1,1.2,7.7,56.7,e44d0ef2-44ca-44a4-9b65-7f5330a4b88b,0.151641107874866,2.4292447484464
410,52940,Dowerin,1863.0851,https://linked.data.gov.au/dataset/asgsed3/LGA2021/52940,319,119,17.8,38,5.7,78,11.7,95,14.2,23,4.5,72,10.8,40,7.8,86,12.9,22,4.3,16,3.1,5,1,30,4.2,12.6,11,4.5,0.4,9.5,5.1,0.4,3.2,10.2,1,6.9,50.4,347348b1-2db3-445c-8357-b21806438e3d,0.176149511695257,2.42573629077805
411,53010,Dumbleyung,2539.2249,https://linked.data.gov.au/dataset/asgsed3/LGA2021/53010,319,88,13.3,30,4.5,73,11,80,12.1,20,3.8,59,8.9,41,7.8,65,9.8,23,4.4,19,3.5,4,0.7,24,3.5,10.3,8.8,2.1,,6.7,4.5,0.6,1.8,7.3,0.4,5.2,51.9,46a72db5-9bc0-4f1a-9de0-3b33d7539a5d,0.245610973316388,3.05361911093698
412,53080,Dundas,92886.3668,https://linked.data.gov.au/dataset/asgsed3/LGA2021/53080,117,,,,,,,,,,,,,,,,,,,,,,,43,6.4,9.9,8.2,2.7,0.4,6.2,5.5,0.4,4.2,9.2,1.6,7.4,41.4,f9ed8298-90a5-4fea-9582-4a179352f82a,8.86662199299144,21.2059229311945
413,53150,East Fremantle,3.1384,https://linked.data.gov.au/dataset/asgsed3/LGA2021/53150,4445,905,11.7,240,3.1,540,7,570,7.4,194,3.1,402,5.2,362,5.8,357,4.6,190,3.1,105,1.6,28,0.4,362,4.6,7.1,6.5,3.4,0.9,2.6,3.5,0.7,1.3,8.4,0.7,7.5,61.4,81a972ae-b88c-4447-b74a-983b0a280ae4,0.00029965917701702,0.0769044714392536
414,53220,East Pilbara,372295.6721,https://linked.data.gov.au/dataset/asgsed3/LGA2021/53220,1725,,,,,,,,,,,,,,,,,,,,,,,124,1.3,2,4.8,0.6,,3,1.6,0.4,0.5,3.7,0.1,3,59,5dcfa390-7f39-4bdc-870a-99066f57ffc0,32.5235694055073,33.7379698835125
